batter,player_name,birth_date,bats,throws
663993,Nathaniel Lowe,1995-07-07,L,R
664023,Ian Happ,1994-08-12,S,R
664029,Mark Mathias,1994-08-02,R,R
664034,Ty France,1994-07-13,R,R
664040,Brandon Lowe,1994-07-06,L,R
664056,Harrison Bader,1994-06-03,R,R
664057,Andrew Stevenson,1994-06-01,L,L
664058,David Fletcher,1994-05-31,R,R
664059,Sam Haggerty,1994-05-26,S,R
664068,Scott Kingery,1994-04-29,R,R
664238,Dylan Moore,1992-08-02,R,R
664314,Estevan Florial,1997-11-25,L,R
664670,Alejo Lopez,1996-05-05,S,R
664702,Myles Straw,1994-10-17,R,R
664728,Kyle Isbel,1997-03-03,L,R
664731,P.J. Higgins,1993-05-10,R,R
664761,Alec Bohm,1996-08-03,R,R
664770,Nathan Lukes,1994-07-12,L,R
664774,LaMonte Wade Jr.,1994-01-01,L,L
664874,Seby Zavala,1993-08-28,R,R
664901,Danny Mendick,1993-09-28,R,R
664913,Seth Brown,1992-07-13,L,L
664954,Brett Sullivan,1994-02-22,L,R
664983,Jake McCarthy,1997-07-30,L,L
665019,Kody Clemens,1996-05-15,L,R
665052,Griffin Conine,1997-07-11,L,R
665120,Jared Walsh,1993-07-30,L,L
665155,Nick Maton,1997-02-18,L,R
665161,Jeremy Peña,1997-09-22,R,R
665487,Fernando Tatis Jr.,1999-01-02,R,R
665489,Vladimir Guerrero Jr.,1999-03-16,R,R
665506,Cristian Pache,1998-11-19,R,R
665561,Rafael Marchán,1999-02-25,S,R
665742,Juan Soto,1998-10-25,L,L
665750,Leody Taveras,1998-09-08,S,R
665782,Luis De Los Santos,1998-06-09,R,R
665804,Miguel Amaya,1999-03-09,R,R
665828,Oswaldo Cabrera,1999-03-01,S,R
665833,Oneil Cruz,1998-10-04,L,R
665839,Enmanuel Valdez,1998-12-28,L,R
665856,Jair Camargo,1999-07-01,R,R
665861,Sebastián Rivero,1998-11-16,R,R
665862,Jazz Chisholm Jr.,1998-02-01,L,R
665877,José Fermín,1999-03-29,R,R
665923,Esteury Ruiz,1999-02-15,R,R
665926,Andrés Giménez,1998-09-04,L,R
665953,Andrés Chaparro,1999-05-04,R,R
665966,Carlos Narváez,1998-11-26,R,R
666018,Jonathan Aranda,1998-05-23,L,R
666023,Freddy Fermin,1995-05-16,R,R
666126,Carlos Cortes,1997-06-30,L,S
666134,Nolan Jones,1998-05-07,L,R
666135,Alex Kirilloff,1997-11-09,L,L
666139,Josh Lowe,1998-02-02,L,R
666149,Tyler Fitzgerald,1997-09-15,R,R
666150,Dominic Fletcher,1997-09-02,L,L
666152,David Hamilton,1997-09-29,L,R
666158,Gavin Lux,1997-11-23,L,R
666160,Mickey Moniak,1998-05-13,L,R
666163,Ben Rortvedt,1997-09-25,L,R
666164,Blake Rutherford,1997-05-02,L,R
666165,Blake Sabol,1998-01-07,L,R
666176,Jo Adell,1999-04-08,R,R
666181,Will Benson,1998-06-16,L,L
666182,Bo Bichette,1998-03-05,R,R
666185,Dylan Carlson,1998-10-23,S,L
666197,Grae Kessinger,1997-08-25,R,R
666198,Carter Kieboom,1997-09-03,R,R
666211,Taylor Trammell,1997-09-13,L,L
666310,Bo Naylor,2000-02-21,L,R
666397,Edouard Julien,1999-04-30,L,R
666464,Jerar Encarnacion,1997-10-22,R,R
666624,Christopher Morel,1999-06-24,R,R
666703,Eguy Rosario,1999-08-25,R,R
666801,Rodolfo Castro,1999-05-21,R,R
666906,Jake Alu,1997-04-06,L,R
666915,Bobby Dalbec,1995-06-29,R,R
666931,Jared Oliva,1995-11-27,R,R
666969,Adolis García,1993-03-02,R,R
666971,Lourdes Gurriel Jr.,1993-10-10,R,R
667428,Grant Koch,1997-02-05,R,R
667452,Corey Julks,1996-02-27,R,R
667472,Dane Myers,1996-03-08,R,R
