player_id,player_name,n_exposures,posterior_mean,posterior_median,posterior_sd,cri90_low,cri50_low,cri50_high,cri90_high,prob_above_league_mean,prob_above_league_median,prob_positive,prob_top_quartile,prob_top_decile,prob_bottom_decile,rank_median,rank_cri50_low,rank_cri50_high,rank_cri90_low,rank_cri90_high,rank_population_size
665052,Griffin Conine,51,0.028256043721140416,0.02813632702472693,0.041969049728724346,-0.04110328238167986,0.001004706506192284,0.05556123782176047,0.09816342660464805,0.5562,0.5562,0.7584,0.2694,0.0994,0.061,234.0,122.0,359.0,30.0,475.0,520
575929,Willson Contreras,375,0.028210850246218257,0.028222527859513784,0.03996838686296252,-0.037642317569472866,0.001503465916091424,0.05476892260701345,0.0932972110263362,0.5526,0.5542,0.7642,0.2604,0.0878,0.0526,236.0,126.0,355.0,34.0,471.0,520
681297,Colton Cowser,211,0.02820314523940524,0.028393523067414154,0.0421252952809094,-0.04130060463347839,0.0005141278759984626,0.0558931240498973,0.09812935321371714,0.5556,0.552,0.7538,0.2716,0.0972,0.0638,236.0,121.0,360.0,29.0,478.0,520
700246,Carson Williams,73,0.028155545562761834,0.028113339375123787,0.042639297397865046,-0.04279450617978712,0.00031224025909752553,0.05612736875935419,0.09854644953899667,0.5528,0.5536,0.7522,0.2742,0.1034,0.0664,235.0,121.0,359.0,29.950000000000017,479.0500000000002,520
669701,Josh Smith,330,0.028127455284892675,0.02787206332955304,0.03990858688895661,-0.03866068171512773,0.001682606303666142,0.053279702681051616,0.09461441080587069,0.5536,0.556,0.765,0.2542,0.0884,0.0536,238.0,129.0,352.25,33.0,471.0,520
676439,Hunter Feduccia,63,0.028111156655908708,0.027524838938813585,0.046383255799146435,-0.04716501145794767,-0.002309755943803953,0.057321017995380724,0.1045773662659393,0.5428,0.5438,0.7354,0.2824,0.1146,0.078,238.0,116.0,373.0,22.0,485.0,520
681546,James Outman,110,0.028071990356572724,0.028032164387954403,0.046788490472439985,-0.05013953973459243,-0.0015931220608783995,0.05747997454103871,0.10462698530996788,0.5468,0.548,0.7378,0.2838,0.1106,0.081,234.0,116.0,370.0,23.0,488.0,520
669369,Bryce Johnson,52,0.027996168114958368,0.027646833607745926,0.046550923997926874,-0.04811271215708946,-0.0017820628335446034,0.05720545163195037,0.10385552409487105,0.545,0.5456,0.735,0.2796,0.1188,0.076,238.0,114.0,369.0,22.0,486.0500000000002,520
701358,Cam Smith,360,0.027910960822801024,0.02786822293387203,0.04229990964580227,-0.0420799490359604,0.0005667529812777266,0.05485873119875814,0.09842777181870369,0.5492,0.5494,0.7556,0.263,0.0918,0.062,236.0,124.0,357.0,29.0,478.0500000000002,520
643217,Andrew Benintendi,336,0.027895009899675326,0.027391918214975997,0.042511979467025236,-0.04101654888661459,-0.00013384497570814654,0.055285011939568966,0.09738349678778925,0.5458,0.5454,0.749,0.2682,0.096,0.0662,239.0,124.0,361.0,30.0,480.0,520
665953,Andrés Chaparro,52,0.027807699575174497,0.027226560619249596,0.04567886434133113,-0.04573185292915745,-0.002506510227987074,0.057901727972040185,0.10225361126001775,0.5406,0.538,0.7322,0.2852,0.1132,0.0746,239.0,114.0,374.0,23.0,485.0,520
692216,CJ Kayfus,103,0.027766804300553862,0.02733043586456388,0.0450019340034974,-0.04516146591918948,-0.0020141183834240183,0.0562357149477877,0.10299202008847089,0.5376,0.5398,0.733,0.273,0.11,0.0754,241.0,119.0,369.25,25.0,483.0,520
681962,Vinny Capra,60,0.027762748056012327,0.02720848585443574,0.04649841698033992,-0.04839960060179179,-0.0017714118945166154,0.057227921123948824,0.10586321217522603,0.5382,0.5392,0.7394,0.2754,0.1162,0.085,240.0,118.0,369.0,21.0,488.0500000000002,520
592663,J.T. Realmuto,354,0.0277515930783382,0.027849305583142386,0.041019606528918125,-0.03821762353760383,0.0007896058208836722,0.05440170174563709,0.09567444868155892,0.5474,0.5438,0.7562,0.2566,0.0918,0.06,235.0,127.0,361.0,32.0,474.0,520
