model,outcome,season,player_id,player_name,prior_same_type_pitches,change_ci90_low,change_median,change_ci90_high
pooled_geometry,distortion,2026,642086,Dominic Smith,5,-0.08621237705256547,0.01631311742658386,0.12644574365108632
pooled_geometry,distortion,2026,642086,Dominic Smith,6,-0.09362949791081465,0.017716586019660807,0.13732426706889522
pooled_geometry,distortion,2026,642086,Dominic Smith,7,-0.10005450024344317,0.018932325813662058,0.14674767268284591
pooled_geometry,distortion,2026,642086,Dominic Smith,8,-0.1057217539428355,0.020004684310726346,0.15505970551360876
pooled_geometry,distortion,2025,642133,Rowdy Tellez,0,-0.0,-0.0,0.0
pooled_geometry,distortion,2025,642133,Rowdy Tellez,1,-0.06075255767987544,-0.02389222712736136,0.008272914777262495
pooled_geometry,distortion,2025,642133,Rowdy Tellez,2,-0.09629052574550168,-0.03786828405558051,0.013112259693622973
pooled_geometry,distortion,2025,642133,Rowdy Tellez,3,-0.12150511535975088,-0.04778445425472272,0.01654582955452499
pooled_geometry,distortion,2025,642133,Rowdy Tellez,4,-0.14106307051316774,-0.05547603341645031,0.019209113247934614
pooled_geometry,distortion,2025,642133,Rowdy Tellez,5,-0.1570430834253771,-0.06176051118294186,0.021385174470885466
pooled_geometry,distortion,2025,642133,Rowdy Tellez,6,-0.17055399183018682,-0.06707396142491612,0.023225008019710957
pooled_geometry,distortion,2025,642133,Rowdy Tellez,7,-0.1822576730396263,-0.07167668138208406,0.024818744331787483
pooled_geometry,distortion,2025,642133,Rowdy Tellez,8,-0.19258105149100335,-0.07573656811116102,0.026224519387245945
pooled_geometry,distortion,2025,642136,Matt Thaiss,0,-0.0,0.0,0.0
pooled_geometry,distortion,2025,642136,Matt Thaiss,1,-0.05689077732953461,-0.020054678901790076,0.014804224731136503
pooled_geometry,distortion,2025,642136,Matt Thaiss,2,-0.09016974870418965,-0.03178591402334101,0.0234641410511001
pooled_geometry,distortion,2025,642136,Matt Thaiss,3,-0.11378155465906922,-0.04010935780358015,0.029608449462273007
pooled_geometry,distortion,2025,642136,Matt Thaiss,4,-0.13209629422142743,-0.046565522376011206,0.03437434532625216
pooled_geometry,distortion,2025,642136,Matt Thaiss,5,-0.14706052603372427,-0.05184059292513109,0.03826836578223661
pooled_geometry,distortion,2025,642136,Matt Thaiss,6,-0.15971260375575216,-0.056300601525225154,0.041560713166202974
pooled_geometry,distortion,2025,642136,Matt Thaiss,7,-0.17067233198860385,-0.060164036705370225,0.04441267419340951
pooled_geometry,distortion,2025,642136,Matt Thaiss,8,-0.1803394974083793,-0.06357182804668202,0.0469282821022002
pooled_geometry,distortion,2025,642180,Tyler Wade,0,-0.0,-0.0,0.0
pooled_geometry,distortion,2025,642180,Tyler Wade,1,-0.05356285369390384,-0.01697944114484709,0.018644157138520877
pooled_geometry,distortion,2025,642180,Tyler Wade,2,-0.08489511453645125,-0.02691177749778454,0.029550289922108248
pooled_geometry,distortion,2025,642180,Tyler Wade,3,-0.10712570738780768,-0.03395888228969418,0.037288314277041754
pooled_geometry,distortion,2025,642180,Tyler Wade,4,-0.12436909483421664,-0.0394250414297069,0.04329039226542639
pooled_geometry,distortion,2025,642180,Tyler Wade,5,-0.13845796823035508,-0.04389121864263163,0.04819444706062912
