stage,specification,x,y,restriction,high_information,negative_control,method,endpoint,estimate,ci90_low,ci90_high,permutation_p_positive,permutation_p_two_sided,permutation_null_mean,permutations,bootstrap_replicates,shared_players,median_n_a,median_n_b,min_n_a,min_n_b,median_games_a,median_games_b,median_information_a,median_information_b,median_se_a,median_se_b,median_shrinkage_a,median_shrinkage_b,score_se_spearman_a,score_se_spearman_b,se_stability_spearman,top_quartile_baseline_n,status,bh_q_positive,bh_q_two_sided,by_q_positive,family_tests
discovery,absz_attack_direction__log_kernel_h1_m5,log_kernel_h1_m5,absz_attack_direction,all,False,False,unpooled,spearman,0.06121616037863968,-0.01780182359775864,0.15083035106479578,0.1159,0.2355,0.0,9999,500,368,415.0,384.5,45,40,61.5,58.5,17.397156121097638,16.921846256584256,0.14430256205194897,0.14952853160238572,0.23405148940832682,0.2960464616516188,0.014601591342296555,-0.007194847449007602,0.4472112983184091,85,ok,0.3027934426229508,0.57072,1.0,156
discovery,absz_attack_direction__log_kernel_h1_m5,log_kernel_h1_m5,absz_attack_direction,all,False,False,pooled,spearman,0.03193785077289228,-0.06555189963721493,0.11530314182642548,0.2707,0.5418,0.0,9999,500,368,415.0,384.5,45,40,61.5,58.5,17.397156121097638,16.921846256584256,0.14430256205194897,0.14952853160238572,0.23405148940832682,0.2960464616516188,0.025203396507368702,-0.013493950838098595,0.4472112983184091,92,ok,0.4305,0.7423103999999999,1.0,156
discovery,absz_attack_direction__log_kernel_h2_m5,log_kernel_h2_m5,absz_attack_direction,all,False,False,unpooled,spearman,0.0548720778042093,-0.031979377567161744,0.14179194913291593,0.146,0.2901,0.0,9999,500,369,415.0,384.0,45,40,61.0,58.0,21.59658163134231,20.844891007630643,0.1325999249173079,0.13217540288807042,0.2415056621497412,0.3257101515223817,0.04228884239488693,0.0320046716918403,0.44040129737372574,78,ok,0.34366567164179107,0.62855,1.0,156
discovery,absz_attack_direction__log_kernel_h2_m5,log_kernel_h2_m5,absz_attack_direction,all,False,False,pooled,spearman,0.04605222932370334,-0.04103731351013923,0.12291548019943356,0.187,0.3721,0.0,9999,500,369,415.0,384.0,45,40,61.0,58.0,21.59658163134231,20.844891007630643,0.1325999249173079,0.13217540288807042,0.2415056621497412,0.3257101515223817,0.05107716412064238,0.011832564271588662,0.44040129737372574,93,ok,0.37557,0.67496,1.0,156
discovery,absz_attack_direction__log_kernel_h2_m20,log_kernel_h2_m20,absz_attack_direction,all,False,False,unpooled,spearman,0.05952633439377872,-0.025102594804194477,0.14675047927130486,0.1246,0.256,0.0,9999,500,369,415.0,384.0,45,40,61.0,58.0,38.446198621720285,38.241086936091804,0.09909702981051953,0.09963568154668653,0.21867195929203023,0.34461602835706234,0.05003391514526191,0.043972418866374326,0.4305565905247772,81,ok,0.3135096774193548,0.6050909090909091,1.0,156
discovery,absz_attack_direction__log_kernel_h2_m20,log_kernel_h2_m20,absz_attack_direction,all,False,False,pooled,spearman,0.044971960295396136,-0.04382508844244112,0.13229316292442794,0.1989,0.3872,0.0,9999,500,369,415.0,384.0,45,40,61.0,58.0,38.446198621720285,38.241086936091804,0.09909702981051953,0.09963568154668653,0.21867195929203023,0.34461602835706234,0.06273346517248955,0.020169480190689097,0.4305565905247772,94,ok,0.3799170731707317,0.67496,1.0,156
discovery,absz_attack_direction__linear_exposure_pitcher,linear_exposure_pitcher,absz_attack_direction,all,False,False,unpooled,spearman,0.11103723023129174,0.017997439027545786,0.1966073974893724,0.0159,0.0323,0.0,9999,500,369,415.0,384.0,45,40,61.0,58.0,439.5401023381992,420.80534973471816,0.027895946344634198,0.027779225672410545,0.23588728310816334,0.2703894103550766,-0.018038080498313798,-0.035837799623589656,0.3938369971243778,81,ok,0.08858571428571428,0.17995714285714287,0.49876178864459536,156
discovery,absz_attack_direction__linear_exposure_pitcher,linear_exposure_pitcher,absz_attack_direction,all,False,False,pooled,spearman,0.07929552033475681,-0.01632686514182101,0.1594490413435188,0.0657,0.13,0.0,9999,500,369,415.0,384.0,45,40,61.0,58.0,439.5401023381992,420.80534973471816,0.027895946344634198,0.027779225672410545,0.23588728310816334,0.2703894103550766,-0.0013133759422200566,-0.0565200672570768,0.3938369971243778,92,ok,0.22382608695652176,0.44086956521739135,1.0,156
discovery,absz_attack_direction__saturating_exposure_pitcher,saturating_exposure_pitcher,absz_attack_direction,all,False,False,unpooled,spearman,0.05383640579078734,-0.04458968473550191,0.13557201074713165,0.1612,0.3118,0.0,9999,500,366,415.5,385.5,45,40,62.0,59.0,11.615229881968842,11.655559999271077,0.17963706384593242,0.17162858113756999,0.22465879789070495,0.31388718285073913,0.03940190337959102,0.029956108333420016,0.4440991010560801,84,ok,0.3644521739130435,0.649584,1.0,156
discovery,absz_attack_direction__saturating_exposure_pitcher,saturating_exposure_pitcher,absz_attack_direction,all,False,False,pooled,spearman,0.028947450544622583,-0.055675228789597055,0.1061137052233089,0.2932,0.5888,0.0,9999,500,366,415.5,385.5,45,40,62.0,59.0,11.615229881968842,11.655559999271077,0.17963706384593242,0.17162858113756999,0.22465879789070495,0.31388718285073913,0.052430991322630356,-0.01217573065581725,0.4440991010560801,93,ok,0.43238490566037735,0.7423103999999999,1.0,156
