scenario,replicate,n_players,coverage90,coverage50,rmse,unpooled_rmse,mean_bias,rank_spearman,mu_mean,mu90_low,mu90_high,tau_mean,true_mu,true_tau,mu_interval_excludes_zero,first_stage_coverage90,missing_fraction,median_observed,median_clusters
heterogeneous,37,30,0.9666666666666667,0.5666666666666667,0.043893489986387174,0.06275991882821222,0.0032604435780637007,0.8318131256952168,0.06447715519694529,0.032488150807949215,0.09688701596205809,0.08964604540302427,0.055,0.09,True,0.8666666666666667,0.1646002565198803,185.0,36.0
heterogeneous,38,30,0.9,0.5666666666666667,0.046711742444320394,0.058539489153814885,0.012693763122492645,0.7454949944382647,0.059868129016805216,0.023941005800713424,0.09676559836290555,0.11057144423760988,0.055,0.09,True,0.9666666666666667,0.16199970678786102,182.0,35.0
heterogeneous,39,30,0.8333333333333334,0.5,0.054956503417361496,0.058821444454374316,0.00714852983146526,0.8442714126807563,0.06593576083234885,0.03169565912336863,0.10126190275812144,0.10006207089394575,0.055,0.09,True,0.9666666666666667,0.16563618613732511,145.0,29.0
heterogeneous,40,30,0.9333333333333333,0.6333333333333333,0.04732638549386191,0.06238810962175854,0.011115384697210077,0.8126807563959955,0.0194977743393084,-0.01833918108347098,0.05782635771556036,0.10177532194764129,0.055,0.09,False,0.9,0.15642722117202268,133.5,29.0
heterogeneous,41,30,0.9,0.5333333333333333,0.051064922639607525,0.07119268597268393,-0.008760677180140551,0.7601779755283649,0.02733457566481323,-0.006756073636301067,0.061685251264951536,0.09011521541108027,0.055,0.09,False,0.8666666666666667,0.15810152443815806,164.0,32.0
heterogeneous,42,30,0.8333333333333334,0.36666666666666664,0.05845636752029327,0.06396019458695852,-0.007630051058106795,0.6302558398220245,0.05732089129786949,0.027466871242073043,0.08904553403385448,0.07966130395518319,0.055,0.09,True,0.8666666666666667,0.16335642802155503,159.5,31.0
heterogeneous,43,30,0.9,0.6,0.050542183828203836,0.06739168100903138,0.011371801822493017,0.7432703003337041,0.058385048038025335,0.021631406051530095,0.09823514483671356,0.10781268707292956,0.055,0.09,True,0.8666666666666667,0.1658211794546608,165.5,33.5
heterogeneous,44,30,0.8333333333333334,0.4666666666666667,0.06043529906277067,0.08114284762727497,-0.00289936226300685,0.7579532814238041,0.06874843614014764,0.033205734528875354,0.10650007994216064,0.10478936247189664,0.055,0.09,True,0.7333333333333333,0.1584274036590113,239.0,48.0
heterogeneous,45,30,0.9,0.4666666666666667,0.05273126383933461,0.06374343692017961,0.0057544611873155144,0.7695216907675194,0.06431929429265147,0.033155351046308644,0.0957206019362012,0.08836699238430654,0.055,0.09,True,0.8333333333333334,0.16065781151170144,157.0,30.0
heterogeneous,46,30,0.9,0.5666666666666667,0.050323634213699245,0.06145225146855302,0.005977455470305291,0.7948832035595106,0.06048311092238657,0.030415583886059076,0.09195601421028886,0.08763254905548465,0.055,0.09,True,0.9666666666666667,0.15555222538588342,174.5,35.5
heterogeneous,47,30,0.9333333333333333,0.5333333333333333,0.04872068296242177,0.07263621354777171,0.017871820559984753,0.8300333704115684,0.07219859911014692,0.03245192828423434,0.11582146296939769,0.11575186401732784,0.055,0.09,True,0.8333333333333334,0.15334880636604775,149.0,31.0
heterogeneous,48,30,0.8666666666666667,0.4,0.061813890371059166,0.07698030815933755,0.012389844418420344,0.7147942157953281,0.08042275055668466,0.0447553027625797,0.1130985006355061,0.09666223250895754,0.055,0.09,True,0.7333333333333333,0.15956989247311826,182.5,36.0
heterogeneous,49,30,0.9,0.5,0.05193968220066482,0.06810225443328852,0.005888556927851995,0.7988876529477197,0.052680882562237685,0.011626273505089813,0.09198947755662037,0.11291005607329126,0.055,0.09,True,0.8666666666666667,0.16759138381201044,146.5,29.0
heterogeneous,50,30,0.9,0.36666666666666664,0.06386787169892731,0.08786555684449211,0.007349991089031961,0.6805339265850945,0.057208646788289255,0.01689124259658797,0.0994256315714203,0.1110949550280309,0.055,0.09,True,0.8,0.15898018837284833,173.5,33.5
heterogeneous,51,30,0.8666666666666667,0.4666666666666667,0.06104083218240747,0.06428001700980378,-0.012058509810666215,0.7352614015572858,0.05324394272544323,0.01967158565745472,0.08680962408929002,0.0892738880941447,0.055,0.09,True,0.9333333333333333,0.15502008032128511,165.5,31.5
heterogeneous,52,30,0.8666666666666667,0.3333333333333333,0.0541189129898594,0.09310810072363113,0.014404319512952386,0.7272525027808675,0.06444460178854292,0.0335192985502238,0.09806448831529893,0.076228267936625,0.055,0.09,True,0.8333333333333334,0.15803771172898695,150.0,29.0
heterogeneous,53,30,0.7333333333333333,0.36666666666666664,0.05738243895134943,0.07319810192564144,-0.014398863641131071,0.7699666295884315,0.03445383386431757,-0.008229367267880065,0.07748394840966767,0.1159201545623344,0.055,0.09,False,0.6333333333333333,0.1651289009497965,222.0,41.5
heterogeneous,54,30,0.9666666666666667,0.5,0.04091172331461865,0.05957559034915348,-0.01268206400801176,0.8091212458286985,0.04946870868665538,0.017810847772178548,0.07831406690072124,0.07975244331300123,0.055,0.09,True,0.9333333333333333,0.16269477543538036,171.5,34.5
heterogeneous,55,30,0.8333333333333334,0.5,0.05765527877324605,0.06139134017738784,-0.010377957233908466,0.7379310344827587,0.04265077133470253,0.01408063827609336,0.07094075835750992,0.06614255363198301,0.055,0.09,True,1.0,0.161100536424987,153.0,30.5
