stage,specification,x,y,restriction,high_information,negative_control,method,bins,baseline_group,n,mean_followup_percentile,mean_percentile_ci90_low,mean_percentile_ci90_high,top_quartile_followup_rate
full_year,distortion__log_kernel_exposure,log_kernel_exposure,distortion,all,False,False,pooled,10,4,43,0.5233738637705112,0.454031401251328,0.5893263290441899,0.20930232558139536
full_year,distortion__log_kernel_exposure,log_kernel_exposure,distortion,all,False,False,pooled,10,5,49,0.49640871577057216,0.43171034911426504,0.5587520287302739,0.22448979591836735
full_year,distortion__log_kernel_exposure,log_kernel_exposure,distortion,all,False,False,pooled,10,6,42,0.5311417291112722,0.46474901297236326,0.5933546853597615,0.21428571428571427
full_year,distortion__log_kernel_exposure,log_kernel_exposure,distortion,all,False,False,pooled,10,7,45,0.5000376010528295,0.4284715172024817,0.5691577364166197,0.26666666666666666
full_year,distortion__log_kernel_exposure,log_kernel_exposure,distortion,all,False,False,pooled,10,8,43,0.5641797505213867,0.4889761145870224,0.6397473733915713,0.32558139534883723
full_year,distortion__log_kernel_exposure,log_kernel_exposure,distortion,all,False,False,pooled,10,9,48,0.46978990411731525,0.40279540327129165,0.5394511421319798,0.20833333333333334
full_year,distortion__log_kernel_exposure,log_kernel_exposure,distortion,all,False,False,pooled,10,10,51,0.4341428618824856,0.3665223449786006,0.5014946418499717,0.19607843137254902
full_year,distortion__log_exposure_sequence,log_exposure_sequence,distortion,all,False,False,unpooled,4,1,104,0.4945171157100091,0.4483917415072237,0.5382418976962123,0.2403846153846154
full_year,distortion__log_exposure_sequence,log_exposure_sequence,distortion,all,False,False,unpooled,4,2,127,0.4901941191361232,0.45062552460130306,0.5301597452602689,0.2283464566929134
full_year,distortion__log_exposure_sequence,log_exposure_sequence,distortion,all,False,False,unpooled,4,3,124,0.5280961737896404,0.48746861525025925,0.5656630369521315,0.25
full_year,distortion__log_exposure_sequence,log_exposure_sequence,distortion,all,False,False,unpooled,4,4,110,0.5151515151515151,0.46637209660052303,0.555979849253961,0.2909090909090909
full_year,distortion__log_exposure_sequence,log_exposure_sequence,distortion,all,False,False,unpooled,10,1,35,0.5054145516074449,0.4250471356055112,0.5907493352671017,0.2857142857142857
full_year,distortion__log_exposure_sequence,log_exposure_sequence,distortion,all,False,False,unpooled,10,2,42,0.49629361050680854,0.43204616872129564,0.5646080090242526,0.21428571428571427
full_year,distortion__log_exposure_sequence,log_exposure_sequence,distortion,all,False,False,unpooled,10,3,53,0.4943492002681735,0.4320339686492353,0.5599511541040129,0.22641509433962265
full_year,distortion__log_exposure_sequence,log_exposure_sequence,distortion,all,False,False,unpooled,10,4,50,0.4759729272419628,0.4110812182741117,0.5354111675126902,0.24
full_year,distortion__log_exposure_sequence,log_exposure_sequence,distortion,all,False,False,unpooled,10,5,51,0.49316545569158293,0.4264523406655387,0.5598088981785607,0.21568627450980393
full_year,distortion__log_exposure_sequence,log_exposure_sequence,distortion,all,False,False,unpooled,10,6,47,0.5779061813730785,0.5111729128415595,0.6358912049537386,0.3404255319148936
full_year,distortion__log_exposure_sequence,log_exposure_sequence,distortion,all,False,False,unpooled,10,7,53,0.49473230533473805,0.4378459917632411,0.5519777799061393,0.20754716981132076
full_year,distortion__log_exposure_sequence,log_exposure_sequence,distortion,all,False,False,unpooled,10,8,50,0.48304568527918784,0.42037055837563453,0.5484500846023688,0.22
full_year,distortion__log_exposure_sequence,log_exposure_sequence,distortion,all,False,False,unpooled,10,9,49,0.5796298214717359,0.5094202147864222,0.6470889878794157,0.3673469387755102
full_year,distortion__log_exposure_sequence,log_exposure_sequence,distortion,all,False,False,unpooled,10,10,35,0.4632583998066232,0.38908145999516563,0.5405656272661349,0.2
full_year,distortion__log_exposure_sequence,log_exposure_sequence,distortion,all,False,False,pooled,4,1,121,0.48379270322048357,0.4342555690732895,0.5310868258030234,0.30578512396694213
