grouping,group,field,field_in_schema,n_all_pitches,populated_all_pitches,pct_all_pitches,n_swings,populated_swings,pct_swings,n_whiffs,populated_whiffs,pct_whiffs,n_contact,populated_contact,pct_contact
pitch_type,SI,intercept_ball_minus_batter_pos_x_inches,True,387352,169177,43.67526177740143,177244,169177,95.44864706280607,21077,20215,95.91023390425582,156167,148962,95.38634922871029
pitch_type,SI,intercept_ball_minus_batter_pos_y_inches,True,387352,169177,43.67526177740143,177244,169177,95.44864706280607,21077,20215,95.91023390425582,156167,148962,95.38634922871029
pitch_type,SI,miss_distance,True,387352,20125,5.19553274540986,177244,20125,11.354404098305162,21077,20120,95.45950562224226,156167,5,0.0032017007434349126
pitch_type,SL,bat_speed,True,345606,161792,46.814002071723294,168802,161792,95.84720560182936,53888,51864,96.24406175771972,114914,109928,95.6611030857859
pitch_type,SL,swing_length,True,345606,161792,46.814002071723294,168802,161792,95.84720560182936,53888,51864,96.24406175771972,114914,109928,95.6611030857859
pitch_type,SL,attack_angle,True,345606,161792,46.814002071723294,168802,161792,95.84720560182936,53888,51864,96.24406175771972,114914,109928,95.6611030857859
pitch_type,SL,attack_direction,True,345606,161792,46.814002071723294,168802,161792,95.84720560182936,53888,51864,96.24406175771972,114914,109928,95.6611030857859
pitch_type,SL,swing_path_tilt,True,345606,161792,46.814002071723294,168802,161792,95.84720560182936,53888,51864,96.24406175771972,114914,109928,95.6611030857859
pitch_type,SL,intercept_ball_minus_batter_pos_x_inches,True,345606,161613,46.762208989427265,168802,161613,95.7411642042156,53888,51714,95.96570665083135,114914,109899,95.63586682214526
pitch_type,SL,intercept_ball_minus_batter_pos_y_inches,True,345606,161613,46.762208989427265,168802,161613,95.7411642042156,53888,51714,95.96570665083135,114914,109899,95.63586682214526
pitch_type,SL,miss_distance,True,345606,51739,14.970515558178967,168802,51739,30.65070319072049,53888,51738,96.01024346793349,114914,1,0.0008702159876081243
pitch_type,ST,bat_speed,True,184542,80177,43.44647830846095,83753,80177,95.73030219813022,25119,24163,96.19411600780286,58634,56014,95.5316028242999
pitch_type,ST,swing_length,True,184542,80177,43.44647830846095,83753,80177,95.73030219813022,25119,24163,96.19411600780286,58634,56014,95.5316028242999
pitch_type,ST,attack_angle,True,184542,80177,43.44647830846095,83753,80177,95.73030219813022,25119,24163,96.19411600780286,58634,56014,95.5316028242999
pitch_type,ST,attack_direction,True,184542,80177,43.44647830846095,83753,80177,95.73030219813022,25119,24163,96.19411600780286,58634,56014,95.5316028242999
pitch_type,ST,swing_path_tilt,True,184542,80177,43.44647830846095,83753,80177,95.73030219813022,25119,24163,96.19411600780286,58634,56014,95.5316028242999
